label,device_type,flow_pkts_s,flow_byts_s,flow_duration_s,avg_pkt_len
Normal,camera,64.1,90464.43,4.358,789.67
Normal,camera,134.45,80961.55,2.286,585.34
Normal,camera,115.02,100514.56,3.146,612.34
Normal,thermostat,82.42,44201.17,6.781,650.59
DDoS,thermostat,519.45,128978.84,4.313,526.47
DDoS,camera,553.53,530266.83,6.474,398.48
Normal,speaker,92.14,31235.26,2.03,658.62
Normal,thermostat,79.96,32724.03,9.066,652.93
DDoS,camera,1204.2,455682.32,14.625,455.15
Normal,thermostat,43.97,20218.66,1.731,612.15
Normal,camera,105.77,110762.06,6.39,699.84
Normal,speaker,87.83,25555.56,1.044,693.3
DDoS,camera,1032.47,427818.24,2.404,493.51
Normal,speaker,48.35,15173.09,4.879,612.08
Normal,light,63.3,14936.9,3.012,615.39
DDoS,camera,1312.12,414493.77,6.878,146.0
Normal,camera,121.04,105648.8,0.971,723.13
Normal,speaker,55.26,54390.47,1.058,519.15
DDoS,light,293.2,85672.74,4.215,925.29
Normal,light,58.53,13087.91,0.962,743.62
Normal,light,34.06,49249.9,4.586,624.15
Normal,camera,125.38,83776.34,7.522,648.53
Normal,thermostat,47.04,9567.0,1.313,589.94
Normal,camera,135.85,72280.11,5.159,674.88
Normal,speaker,54.91,36300.78,0.766,580.86
Normal,light,67.71,14199.85,6.218,797.36
DDoS,thermostat,432.03,100680.27,3.348,443.97
Normal,camera,81.88,88939.52,9.689,783.34
Normal,thermostat,66.14,28673.57,8.041,635.02
Normal,thermostat,80.65,42446.08,1.681,660.28
DDoS,light,267.1,37031.89,2.412,411.68
Normal,light,98.97,20904.85,1.188,672.87
Normal,speaker,78.77,41614.12,2.293,583.98
Normal,thermostat,50.14,877.4,0.713,771.47
Normal,camera,130.13,78370.19,2.547,637.19
Normal,light,40.13,18678.13,2.266,709.71
DDoS,light,305.7,140736.24,9.026,403.57
Normal,light,17.94,19785.37,2.183,648.82
Normal,light,50.2,34813.25,11.314,619.89
Normal,thermostat,66.32,32006.6,5.902,698.97
DDoS,thermostat,374.8,142484.52,12.279,513.19
Normal,thermostat,42.19,18228.52,1.519,635.02
Normal,camera,136.0,97070.4,0.862,695.49
Normal,camera,127.66,109517.17,2.986,556.78
Normal,camera,87.99,99372.95,2.54,635.26
Normal,light,40.88,1626.35,1.099,729.43
Normal,thermostat,69.02,7506.5,2.752,780.41
Normal,thermostat,67.41,17928.96,0.774,644.62
Normal,speaker,86.03,44735.96,4.463,724.02
Normal,camera,123.37,98116.28,2.428,685.46
Normal,thermostat,63.64,28950.71,3.155,700.03
Normal,light,41.61,34228.35,0.148,557.49
DDoS,camera,1388.93,755170.62,1.486,450.61
DDoS,camera,903.75,440672.79,4.613,573.75
DDoS,camera,910.12,276970.92,5.762,593.62
DDoS,camera,832.98,569591.73,2.176,471.97
Normal,speaker,38.29,44773.6,1.1,662.61
DDoS,speaker,551.32,173648.77,6.017,382.65
Normal,light,35.62,3254.69,2.116,665.05
Normal,speaker,57.98,42984.01,9.684,661.45
Normal,speaker,55.03,38236.01,2.256,579.14
Normal,camera,107.5,76784.56,4.203,677.01
DDoS,speaker,616.23,84195.43,1.465,575.01
Normal,thermostat,37.9,36863.31,1.832,522.88
Normal,speaker,100.86,42795.31,1.398,597.33
DDoS,speaker,444.74,201775.87,2.846,207.93
Normal,thermostat,88.6,36977.4,2.931,624.26
Normal,camera,119.35,112952.26,0.712,572.32
DDoS,camera,931.76,293559.57,5.984,672.0
Normal,thermostat,40.58,23642.1,1.572,704.79
Normal,speaker,62.33,49355.57,7.802,850.44
Normal,speaker,65.97,57741.78,2.024,601.5
Normal,camera,107.38,99350.25,4.007,650.24
DDoS,thermostat,483.14,134513.18,5.904,657.88
Normal,thermostat,47.53,37403.55,1.62,610.4
Normal,camera,99.68,69062.88,0.963,628.42
Normal,camera,105.39,86920.15,1.643,688.41
Normal,thermostat,87.66,40195.96,4.142,691.55
DDoS,speaker,638.62,227666.15,4.906,481.51
Normal,thermostat,32.76,16793.81,2.482,681.22
Normal,thermostat,45.32,19499.34,2.512,656.5
Normal,light,68.58,12779.07,1.944,653.7
DDoS,thermostat,237.46,128025.07,5.872,477.71
DDoS,speaker,815.02,169741.4,8.738,436.06
Normal,speaker,67.14,38203.73,5.245,461.64
Normal,camera,120.37,104765.52,3.667,791.32
Normal,thermostat,69.61,27998.65,1.978,638.41
DDoS,thermostat,463.83,125654.97,2.029,539.42
Normal,camera,152.69,82831.23,2.166,520.47
DDoS,camera,976.02,411707.51,6.188,408.67
Normal,light,47.03,15828.17,3.912,766.39
DDoS,thermostat,243.27,202434.44,4.746,621.63
Normal,camera,108.57,105273.09,0.519,619.27
Normal,camera,104.76,121031.7,3.402,739.83
Normal,speaker,107.26,26113.23,0.113,613.28
Normal,camera,131.63,92624.62,2.191,847.08
DDoS,camera,816.48,586960.75,2.028,425.2
DDoS,thermostat,494.82,113651.73,8.868,372.4
DDoS,speaker,451.71,155041.77,10.237,701.85
Normal,camera,142.93,76652.07,0.852,617.98
Normal,light,48.26,9358.29,4.134,779.36
DDoS,light,252.6,122928.81,4.901,305.58
Normal,camera,177.83,99527.36,1.969,669.75
Normal,light,22.5,4935.68,3.753,745.69
Normal,thermostat,76.77,33476.45,2.341,834.48
Normal,light,17.01,27557.16,7.305,540.4
Normal,light,25.41,31754.18,5.867,644.6
Normal,thermostat,83.87,20892.34,4.685,565.46
Normal,camera,137.29,105301.49,11.003,515.02
DDoS,speaker,637.21,223807.13,5.37,543.69
Normal,thermostat,15.49,27725.61,2.672,690.84
Normal,camera,124.03,96364.43,2.276,416.18
Normal,camera,97.12,76306.01,2.943,777.36
DDoS,light,267.39,48435.82,6.497,566.93
Normal,light,73.93,23672.99,2.946,763.19
Normal,camera,102.52,88657.83,1.722,679.72
Normal,thermostat,42.38,38069.19,3.657,585.95
Normal,camera,122.36,64805.14,0.427,669.19
Normal,light,35.98,16430.39,3.111,499.57
DDoS,camera,699.78,392658.35,1.885,335.15
DDoS,light,254.14,133778.64,4.731,626.18
Normal,thermostat,68.45,26641.47,1.867,486.44
Normal,speaker,92.62,41487.07,3.901,619.96
DDoS,camera,1130.76,335892.18,4.836,492.99
Normal,thermostat,79.43,9456.9,0.833,696.31
DDoS,camera,1241.22,194584.45,11.114,542.18
Normal,speaker,59.24,42883.15,6.431,539.82
DDoS,speaker,629.76,203810.66,1.807,260.3
DDoS,camera,681.31,587654.76,8.835,380.24
DDoS,light,274.91,64666.4,5.274,596.23
DDoS,speaker,616.7,135232.35,0.613,469.13
Normal,light,13.15,33833.06,5.591,625.78
DDoS,thermostat,555.67,172508.54,2.348,381.56
Normal,camera,105.02,103770.8,1.355,654.43
Normal,camera,102.66,89643.73,3.567,711.38
DDoS,speaker,573.63,183860.93,8.732,731.63
DDoS,speaker,641.52,106175.84,7.77,390.23
DDoS,light,342.2,104872.22,1.604,607.94
Normal,thermostat,49.73,23298.22,1.585,542.03
DDoS,thermostat,460.48,134530.19,4.47,528.26
DDoS,light,309.31,81731.25,5.745,431.02
Normal,speaker,66.58,16274.97,1.275,798.22
Normal,speaker,71.99,27042.02,2.925,660.61
Normal,light,79.24,10253.38,6.281,627.48
Normal,light,50.56,7830.31,2.587,540.71
DDoS,camera,817.34,601517.07,2.129,428.36
Normal,camera,114.48,75307.17,3.765,598.12
DDoS,speaker,350.4,97381.28,4.871,658.11
DDoS,light,342.44,86302.13,4.135,488.39
Normal,camera,101.03,78694.53,4.617,526.46
DDoS,camera,954.55,493846.88,1.906,594.8
Normal,light,31.33,12481.23,2.764,581.7
DDoS,camera,748.45,339751.99,6.874,335.48
Normal,camera,104.14,100473.11,1.326,493.97
DDoS,thermostat,234.76,158036.94,11.418,567.13
Normal,light,44.53,14705.06,3.306,582.22
Normal,light,17.97,14398.45,1.016,660.15
DDoS,camera,934.48,341921.2,7.115,579.28
Normal,light,72.06,100.0,1.435,763.22
Normal,camera,156.84,88255.81,3.235,589.95
Normal,thermostat,70.29,3240.42,3.948,627.42
DDoS,light,400.11,56507.36,3.364,479.95
Normal,light,63.12,14723.75,1.962,703.37
Normal,speaker,44.1,30640.26,3.119,660.93
Normal,light,49.59,35135.42,3.54,597.28
Normal,light,71.57,27809.61,1.115,708.91
Normal,camera,107.25,99700.93,2.257,631.97
Normal,thermostat,93.33,16859.98,1.489,696.87
Normal,camera,148.49,76530.19,4.896,648.45
Normal,camera,122.03,104006.61,7.01,716.85
Normal,speaker,59.4,21622.71,5.561,637.57
DDoS,thermostat,295.18,116895.77,7.906,366.71
Normal,speaker,82.48,37379.55,12.154,632.89
Normal,light,25.46,100.0,1.33,757.64
DDoS,light,262.47,143607.54,5.197,525.68
Normal,thermostat,73.89,19761.82,5.203,539.06
DDoS,light,305.97,94956.27,4.469,523.96
Normal,thermostat,86.94,34288.27,2.486,594.75
Normal,camera,139.37,71949.04,3.006,752.26
Normal,light,43.78,15679.91,4.67,632.49
DDoS,camera,892.51,411190.84,4.54,310.66
DDoS,camera,690.9,423570.19,4.004,670.08
Normal,light,21.22,5622.31,4.03,578.27
Normal,camera,131.47,107900.09,4.183,679.26
DDoS,speaker,682.04,235833.29,0.634,479.71
Normal,speaker,51.91,22211.81,0.452,706.82
Normal,speaker,74.44,26840.76,0.464,812.84
DDoS,thermostat,635.15,119755.55,2.846,560.91
DDoS,camera,1000.64,530056.62,0.682,368.46
Normal,speaker,50.41,36286.75,1.652,763.43
DDoS,thermostat,344.45,68316.94,10.184,611.08
DDoS,speaker,585.49,260813.3,5.693,543.87
Normal,speaker,99.25,31689.08,1.06,651.14
Normal,speaker,93.22,54355.74,4.195,664.93
Normal,camera,115.45,56354.21,0.955,704.53
DDoS,thermostat,421.52,149220.55,4.526,619.99
DDoS,speaker,605.75,228669.95,10.987,549.29
Normal,thermostat,65.48,6721.93,1.606,755.93
DDoS,camera,776.95,313808.88,4.302,468.52
Normal,light,10.9,15024.55,1.681,682.89
Normal,speaker,55.53,37932.6,3.767,626.4
Normal,light,35.74,21753.87,3.784,575.94
Normal,light,80.34,14358.15,8.692,549.68
DDoS,camera,624.23,489259.23,5.421,481.34
Normal,light,36.65,4158.39,6.93,750.61
DDoS,speaker,452.98,117508.97,3.12,616.8
Normal,camera,115.43,81188.69,1.437,636.31
Normal,thermostat,58.68,4489.28,3.338,478.88
DDoS,speaker,498.47,215498.81,3.941,594.17
Normal,light,51.93,5898.8,0.554,622.41
Normal,light,91.59,20046.78,2.433,783.14
Normal,light,35.48,12112.65,1.991,631.51
DDoS,thermostat,414.99,105090.25,8.504,549.67
Normal,camera,137.73,72585.28,1.103,699.81
Normal,speaker,88.04,46617.44,0.338,577.99
Normal,speaker,66.73,38436.64,2.152,593.89
Normal,speaker,54.36,42989.12,10.034,610.68
DDoS,speaker,440.35,75988.82,4.391,436.53
Normal,thermostat,58.86,14272.86,5.61,692.91
Normal,thermostat,26.58,14939.66,0.81,571.66
Normal,light,44.78,6711.76,1.782,756.38
Normal,light,11.49,8321.76,7.357,591.83
DDoS,light,301.49,59298.1,7.317,852.2
Normal,light,39.97,100.0,6.652,604.93
DDoS,speaker,574.99,192319.83,2.834,490.37
Normal,thermostat,21.48,46446.88,1.75,757.83
Normal,thermostat,78.18,12856.7,0.839,616.03
DDoS,camera,925.89,383365.92,3.491,571.73
Normal,light,58.04,12306.11,0.699,684.27
DDoS,camera,924.64,452897.44,7.524,539.47
DDoS,thermostat,315.83,108058.27,1.174,428.82
Normal,thermostat,45.8,26559.98,0.955,555.6
Normal,camera,140.61,110700.46,3.586,716.41
DDoS,light,345.2,96341.45,8.139,651.86
Normal,camera,129.78,88494.47,0.702,639.63
Normal,camera,89.27,86582.53,1.023,541.79
Normal,speaker,45.84,39081.07,1.537,614.09
Normal,thermostat,51.88,26161.06,0.496,707.18
DDoS,camera,672.51,522684.1,3.697,689.28
Normal,thermostat,53.81,18106.16,4.596,645.4
Normal,light,33.53,25351.69,4.06,575.23
Normal,camera,121.55,106761.12,3.464,724.31
Normal,light,49.5,11142.59,4.877,698.74
Normal,camera,113.36,93897.38,3.549,656.98
DDoS,camera,615.94,619485.03,2.847,472.59
Normal,thermostat,66.18,42087.45,0.471,569.83
DDoS,thermostat,385.11,178422.82,7.885,564.31
DDoS,light,269.17,76021.43,3.526,466.56
Normal,light,3.7,32661.66,1.803,662.57
Normal,speaker,32.66,34877.13,1.838,635.76
Normal,thermostat,45.54,29399.27,1.254,789.72
Normal,thermostat,75.49,33507.24,0.081,583.34
DDoS,light,328.77,110212.5,6.492,462.98
DDoS,camera,773.99,420515.06,4.25,471.87
Normal,thermostat,72.47,46665.0,0.824,615.87
Normal,camera,103.11,87907.44,1.139,647.27
DDoS,camera,960.68,391732.05,1.636,412.87
DDoS,speaker,644.2,203927.19,5.825,626.55
Normal,speaker,92.38,35277.25,1.044,601.01
Normal,light,65.73,16453.14,2.016,614.59
Normal,thermostat,54.36,17357.48,6.835,536.41
DDoS,camera,805.02,610299.81,4.145,621.1
Normal,camera,100.56,90954.95,6.433,510.85
Normal,camera,130.39,82633.57,3.308,636.68
Normal,thermostat,47.48,27759.09,4.329,591.42
Normal,light,42.53,26917.59,2.225,735.67
Normal,light,43.08,21107.17,3.69,550.03
DDoS,camera,763.15,503006.78,3.876,436.89
Normal,speaker,61.3,33868.77,3.387,776.09
Normal,light,45.49,100.0,5.609,589.89
Normal,light,47.41,30528.3,3.81,615.18
Normal,light,55.44,3127.06,4.986,616.87
Normal,thermostat,50.4,28226.21,2.928,646.4
Normal,camera,110.03,80844.71,5.54,543.48
Normal,thermostat,61.32,44981.71,2.016,755.82
Normal,light,56.89,19016.76,3.28,759.22
Normal,camera,117.58,98726.06,1.797,716.33
Normal,camera,97.81,86778.57,2.301,690.46
DDoS,camera,884.83,256062.86,12.367,662.86
DDoS,camera,1027.73,242698.52,13.277,661.48
Normal,speaker,56.55,25167.36,0.832,685.34
Normal,light,52.44,24863.48,1.013,787.89
DDoS,thermostat,508.58,106290.45,2.383,642.22
Normal,camera,119.57,89792.64,1.066,723.44
DDoS,thermostat,572.13,119970.15,6.625,609.52
DDoS,thermostat,662.27,81398.78,3.815,560.44
Normal,camera,111.39,114101.68,0.595,708.72
Normal,thermostat,84.43,16506.02,1.189,668.48
DDoS,thermostat,470.76,129135.28,2.03,582.02
Normal,light,41.01,18754.0,1.735,524.84
Normal,light,53.1,7853.37,0.499,710.26
Normal,camera,116.32,81397.51,1.846,566.29
Normal,thermostat,29.35,28231.67,5.452,524.05
DDoS,light,342.13,135739.41,1.427,352.67
DDoS,thermostat,555.25,170458.22,4.644,465.83
DDoS,speaker,483.12,144159.38,4.71,636.51
Normal,light,48.8,13444.51,4.554,771.97
Normal,camera,159.61,73126.61,0.446,713.66
Normal,camera,110.99,94882.17,5.027,556.25
Normal,light,37.37,21621.61,0.369,730.18
Normal,camera,123.7,118819.0,1.173,813.21
DDoS,light,261.51,98710.02,2.911,493.4
DDoS,speaker,515.79,96223.71,4.113,699.63
Normal,light,46.99,8095.74,4.21,533.02
Normal,thermostat,55.66,21486.9,3.603,647.69
Normal,light,39.09,26497.56,2.2,632.4
Normal,thermostat,82.47,33123.93,2.892,771.47
DDoS,thermostat,240.64,159317.94,9.646,815.4
Normal,speaker,73.96,38376.18,1.89,668.16
DDoS,thermostat,376.1,120460.58,9.328,329.3
Normal,speaker,78.74,39661.1,0.992,521.91
Normal,speaker,108.01,46710.58,2.017,455.18
DDoS,camera,754.13,250629.41,7.94,426.93
Normal,camera,110.67,87224.71,2.438,632.5
Normal,camera,119.64,93519.41,3.561,625.86
Normal,camera,103.37,92446.86,3.756,638.13
Normal,camera,144.07,72128.59,2.053,685.74
DDoS,light,377.75,132808.21,1.812,681.4
Normal,camera,99.06,98135.64,0.746,623.52
DDoS,thermostat,412.97,142932.7,1.493,566.3
Normal,speaker,68.51,37852.78,2.705,651.92
Normal,camera,117.57,94228.23,6.531,650.2
DDoS,speaker,352.55,239768.57,9.249,370.58
Normal,camera,111.96,94375.52,3.741,562.68
Normal,camera,103.72,76017.58,0.604,665.04
Normal,light,34.5,22858.39,6.761,633.97
Normal,light,35.31,19721.01,0.942,676.93
Normal,speaker,48.18,24351.09,0.477,545.45
Normal,light,48.96,21903.11,2.799,625.86
Normal,speaker,69.08,42611.41,2.555,871.01
Normal,camera,91.5,87450.58,1.959,776.99
DDoS,camera,1026.83,286974.31,4.862,575.92
Normal,light,35.85,30857.71,0.908,675.86
DDoS,speaker,627.28,128075.72,0.369,613.78
Normal,speaker,91.45,39023.81,2.866,573.51
Normal,thermostat,63.39,24432.76,0.871,632.78
DDoS,thermostat,520.85,145129.3,15.282,398.13
Normal,light,13.22,22790.26,2.457,698.99
DDoS,thermostat,359.17,96921.71,5.569,654.48
Normal,speaker,66.08,31215.75,2.507,632.39
Normal,speaker,53.21,48301.34,3.116,681.59
Normal,thermostat,48.54,35923.02,1.768,606.77
Normal,light,11.24,10791.02,3.655,597.75
DDoS,light,256.51,118311.84,2.428,435.92
Normal,camera,163.31,102655.45,5.056,743.49
DDoS,speaker,689.93,111041.57,1.729,446.75
DDoS,thermostat,373.45,115455.78,5.173,550.11
Normal,speaker,76.62,33223.74,1.676,545.36
Normal,thermostat,73.74,17298.14,1.552,697.33
DDoS,speaker,735.07,188816.91,5.61,572.82
DDoS,thermostat,477.33,82072.39,4.683,516.43
Normal,camera,111.93,99864.5,6.521,656.51
Normal,speaker,81.38,34748.95,8.263,541.13
Normal,camera,128.61,101927.13,2.083,646.37
DDoS,thermostat,290.49,142907.85,6.142,388.66
Normal,speaker,58.05,29588.07,7.892,721.71
DDoS,speaker,475.97,162880.55,3.944,426.6
Normal,light,30.84,8141.83,2.959,582.3
Normal,light,63.69,22439.11,0.9,646.68
Normal,thermostat,82.01,43958.4,8.554,676.61
Normal,camera,124.37,101615.18,1.352,713.67
Normal,thermostat,55.38,34763.63,4.18,721.91
Normal,light,24.41,20723.18,0.43,733.76
Normal,light,1.0,27990.06,2.831,671.23
Normal,light,30.89,7847.52,4.0,592.21
Normal,light,57.57,22285.94,0.752,776.19
DDoS,camera,717.43,709420.09,13.429,739.74
Normal,thermostat,10.43,478.08,5.536,617.29
Normal,camera,137.36,92728.86,1.142,573.14
Normal,thermostat,47.03,27776.35,6.227,711.02
DDoS,thermostat,304.37,93627.16,6.693,491.86
Normal,speaker,73.57,55637.2,7.755,674.62
DDoS,thermostat,511.29,149151.26,10.5,454.99
DDoS,camera,1080.31,558233.85,1.717,482.56
Normal,camera,130.52,92926.69,0.828,618.58
Normal,light,8.98,13360.39,4.316,580.17
DDoS,light,431.12,95513.78,6.59,340.16
Normal,camera,106.08,113908.39,4.984,613.41
Normal,camera,106.43,86334.01,1.512,658.83
DDoS,light,248.25,119220.08,7.066,620.62
Normal,camera,138.44,100216.92,0.72,612.72
DDoS,speaker,554.29,211668.31,6.066,407.46
Normal,light,75.9,25249.17,6.17,655.18
DDoS,camera,612.52,499974.69,4.226,384.39
Normal,camera,136.47,101347.6,3.609,606.7
Normal,speaker,56.5,29422.29,3.552,570.97
Normal,thermostat,62.47,22399.22,2.031,659.95
DDoS,thermostat,449.77,147645.53,5.151,668.1
Normal,speaker,61.58,21849.93,0.913,684.68
Normal,speaker,43.72,32754.21,4.242,662.51
Normal,speaker,92.71,56380.22,0.679,645.8
Normal,light,38.09,15449.63,1.365,693.63
Normal,thermostat,79.76,30510.45,4.732,625.17
Normal,camera,102.21,84663.72,0.792,798.35
Normal,light,50.47,36802.26,3.849,664.05
Normal,light,72.22,7436.21,0.847,682.49
Normal,thermostat,10.84,13230.82,2.286,777.93
Normal,speaker,80.56,15489.3,2.44,676.74
DDoS,camera,654.63,371337.98,6.211,507.11
Normal,thermostat,100.74,22338.58,7.729,493.3
Normal,camera,114.38,91481.03,3.464,684.71
Normal,thermostat,55.71,700.56,0.513,707.76
DDoS,camera,779.6,431683.29,5.88,193.31
DDoS,camera,593.87,473564.85,6.529,539.91
DDoS,camera,655.22,410597.62,1.915,462.94
Normal,light,11.12,9591.4,3.919,668.73
Normal,light,32.7,8098.01,2.964,739.43
Normal,light,41.66,4037.05,2.847,643.15
Normal,speaker,75.68,24744.5,1.715,537.34
Normal,thermostat,18.8,29103.06,3.859,603.09
DDoS,camera,517.47,425695.0,5.221,507.75
DDoS,speaker,596.88,36788.21,2.665,658.35
DDoS,camera,1222.3,581034.61,6.504,562.77
Normal,speaker,115.0,22347.44,3.737,808.88
DDoS,camera,999.14,539115.89,2.732,869.69
Normal,speaker,70.13,27423.06,2.998,641.94
Normal,camera,124.67,115401.64,1.205,628.73
DDoS,speaker,721.39,280322.62,6.151,591.77
Normal,thermostat,69.78,25662.05,2.499,745.73
Normal,speaker,63.55,36749.82,5.269,651.52
Normal,camera,133.39,88654.48,0.324,572.8
DDoS,light,499.21,99653.05,3.713,686.92
DDoS,speaker,246.71,199100.31,9.273,630.97
Normal,thermostat,40.03,13163.5,1.228,721.23
DDoS,light,194.29,94216.73,8.731,497.81
Normal,light,32.16,100.0,1.958,710.5
Normal,thermostat,50.43,31187.93,7.14,608.41
DDoS,light,316.62,43753.22,3.463,538.18
DDoS,light,357.77,67869.06,4.479,357.8
DDoS,speaker,494.18,209487.87,4.291,496.42
Normal,camera,120.81,100739.16,3.828,637.49
DDoS,camera,766.9,584145.97,5.158,365.94
Normal,speaker,59.79,41851.29,2.736,681.32
DDoS,speaker,209.41,236186.64,4.515,562.39
Normal,thermostat,62.43,28768.27,2.323,650.74
DDoS,light,270.76,75012.39,2.28,391.61
Normal,camera,102.41,87908.8,2.705,628.3
Normal,camera,161.03,79771.58,2.009,748.67
Normal,thermostat,97.75,13417.43,2.991,548.09
Normal,thermostat,75.75,25404.85,1.601,657.4
Normal,light,33.66,27730.97,1.436,723.23
DDoS,camera,826.39,481087.58,11.041,698.69
Normal,speaker,80.04,42189.01,5.094,627.96
Normal,speaker,87.55,35739.15,5.457,686.43
Normal,light,29.5,11608.72,8.26,637.97
Normal,thermostat,34.81,20149.32,0.968,613.38
Normal,thermostat,50.99,979.53,1.439,572.55
Normal,speaker,89.81,46464.72,0.724,775.49
Normal,light,47.82,100.0,2.25,581.16
Normal,camera,78.86,93222.13,3.773,654.21
Normal,speaker,67.78,36469.89,2.673,591.53
Normal,speaker,110.16,41728.17,3.87,564.11
Normal,speaker,47.61,56177.91,1.28,632.11
Normal,light,46.72,18525.5,6.724,712.11
Normal,light,41.56,16240.42,10.366,725.99
DDoS,thermostat,388.19,98932.52,3.963,453.12
DDoS,speaker,769.56,207428.27,0.359,666.01
DDoS,speaker,464.92,205346.0,7.519,617.19
Normal,camera,114.57,67563.22,2.379,643.71
DDoS,camera,745.06,533594.67,2.734,495.97
DDoS,thermostat,544.74,132746.47,4.342,541.35
DDoS,speaker,918.8,201815.42,4.388,677.52
Normal,speaker,96.13,39770.33,2.526,648.94
Normal,camera,111.37,84493.21,0.317,619.03
DDoS,light,280.78,119598.3,5.33,514.26
Normal,thermostat,57.15,36085.33,1.683,534.41
Normal,speaker,68.63,28500.55,2.335,603.35
Normal,speaker,96.1,46328.51,0.844,750.06
Normal,speaker,64.36,66588.63,1.756,784.21
Normal,thermostat,40.95,16819.12,1.733,629.41
Normal,thermostat,43.61,38901.66,5.698,725.94
Normal,camera,116.45,92321.58,1.055,609.06
Normal,camera,100.12,103834.96,8.282,681.46
Normal,speaker,83.22,41427.14,2.845,600.96
Normal,speaker,86.39,35860.02,2.059,726.98
Normal,speaker,78.84,16163.92,2.754,570.44
DDoS,speaker,378.13,136682.44,2.57,488.73
DDoS,light,330.13,47674.99,5.559,652.88
Normal,light,60.55,18896.23,2.544,711.1
Normal,speaker,48.13,32921.34,2.503,832.39
Normal,speaker,73.1,18055.09,2.834,727.29
DDoS,camera,1018.96,181070.79,13.199,441.22
Normal,thermostat,22.16,24254.37,2.969,643.11
Normal,camera,122.06,66361.24,2.059,734.62
Normal,speaker,66.3,44787.13,0.49,552.92
Normal,light,43.34,15628.87,4.041,797.47
DDoS,camera,538.94,476513.19,4.54,182.72
DDoS,light,364.1,78649.22,1.937,415.81
Normal,light,19.05,454.67,5.009,528.83
Normal,thermostat,67.1,29716.05,5.535,643.73
Normal,camera,120.75,88175.77,10.122,534.69
Normal,light,46.66,21475.84,2.129,660.26
Normal,thermostat,50.41,44551.82,0.357,608.26
Normal,light,54.31,4147.73,0.88,592.54
Normal,thermostat,38.23,58616.48,1.67,472.59
Normal,speaker,100.45,19106.4,2.294,660.63
DDoS,light,292.37,79317.18,4.099,620.24
Normal,light,56.23,12394.31,4.291,681.42
DDoS,speaker,685.49,137757.43,2.271,377.69
DDoS,thermostat,402.43,138543.32,5.826,580.3
Normal,camera,127.88,65911.67,0.957,664.54
DDoS,camera,903.59,503806.09,3.605,665.2
Normal,light,50.57,24666.63,1.497,745.86
Normal,light,39.29,33598.45,1.357,723.3
Normal,light,94.72,12475.12,3.842,674.84
DDoS,camera,599.11,335788.61,1.688,437.8
